Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN605S KV320,T-MOTOR P22*6.6,54%,23.64,2658,0.59,14.00,3704,292,8.43,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,56%,23.60,2797,0.62,14.70,3801,321,8.25,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,58%,23.56,2989,0.67,16.30,3926,350,7.96,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,60%,23.52,3140,0.72,17.40,4031,378,7.70,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,62%,23.48,3277,0.77,18.70,4137,407,7.64,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,64%,23.44,3509,0.81,20.20,4265,439,7.36,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,66%,23.40,3620,0.85,21.70,4346,476,7.25,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,68%,23.35,3875,0.91,23.30,4465,508,7.17,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,70%,23.30,4054,0.95,25.20,4584,544,7.00,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,75%,23.17,4584,1.06,30.00,4859,636,6.69,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,80%,23.05,5038,1.17,35.10,5105,726,6.38,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,90%,22.75,6108,1.42,45.30,5591,939,5.90,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,100%,22.46,7178,1.67,58.60,6008,1136,5.52,64 (Ambient Temperature: 34.5℃)
