Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN4010 KV475,14.8,T-MOTOR 15*5CF,100%,13.3,196.84,1550,5200,7.87,47
MN4010 KV475,14.8,T-MOTOR 16*5.4CF,50%,4.2,62.16,710,3100,11.42,49
MN4010 KV475,14.8,T-MOTOR 16*5.4CF,65%,7.3,108.04,1060,3800,9.81,49
MN4010 KV475,14.8,T-MOTOR 16*5.4CF,75%,9.8,145.04,1340,4200,9.24,49
MN4010 KV475,14.8,T-MOTOR 16*5.4CF,85%,12.8,189.44,1590,4600,8.39,49
MN4010 KV475,14.8,T-MOTOR 16*5.4CF,100%,15.5,229.40,1800,4900,7.85,49
MN4010 KV475,22.2,T-MOTOR 12*4CF,50%,4.5,99.90,770,5700,7.71,50
MN4010 KV475,22.2,T-MOTOR 12*4CF,65%,6.1,135.42,960,6500,7.09,50
MN4010 KV475,22.2,T-MOTOR 12*4CF,75%,8.2,182.04,1180,7000,6.48,50
MN4010 KV475,22.2,T-MOTOR 12*4CF,85%,10.6,235.32,1440,7800,6.12,50
MN4010 KV475,22.2,T-MOTOR 12*4CF,100%,12.9,286.38,1680,8300,5.87,50
MN4010 KV475,22.2,T-MOTOR 13*4.4CF,50%,4.8,106.56,810,5600,7.60,52
MN4010 KV475,22.2,T-MOTOR 13*4.4CF,65%,6.6,146.52,1070,6300,7.30,52
MN4010 KV475,22.2,T-MOTOR 13*4.4CF,75%,8.9,197.58,1320,6900,6.68,52
MN4010 KV475,22.2,T-MOTOR 13*4.4CF,85%,11.7,259.74,1630,7600,6.28,52
MN4010 KV475,22.2,T-MOTOR 13*4.4CF,100%,14.1,313.02,1870,8100,5.97,52
MN4010 KV580,14.8,T-MOTOR 13*4.4CF,50%,4.6,68.08,680,4800,9.99,41
MN4010 KV580,14.8,T-MOTOR 13*4.4CF,65%,6.2,91.76,820,5400,8.94,41
MN4010 KV580,14.8,T-MOTOR 13*4.4CF,75%,8.3,122.84,1030,6000,8.38,41
MN4010 KV580,14.8,T-MOTOR 13*4.4CF,85%,11.1,164.28,1300,6700,7.91,41
MN4010 KV580,14.8,T-MOTOR 13*4.4CF,100%,13.2,195.36,1420,7100,7.27,41
MN4010 KV580,14.8,T-MOTOR 14*4.8CF,50%,5.3,78.44,710,4200,9.05,49
MN4010 KV580,14.8,T-MOTOR 14*4.8CF,65%,8.6,127.28,1000,5000,7.86,49
MN4010 KV580,14.8,T-MOTOR 14*4.8CF,75%,11.4,168.72,1200,5500,7.11,49
MN4010 KV580,14.8,T-MOTOR 14*4.8CF,85%,15.2,224.96,1500,6200,6.67,49
MN4010 KV580,14.8,T-MOTOR 14*4.8CF,100%,18.1,267.88,1750,6600,6.53,49
MN4010 KV580,14.8,T-MOTOR 15*5CF,50%,5.8,85.84,770,4000,8.97,50
MN4010 KV580,14.8,T-MOTOR 15*5CF,65%,10,148.00,1190,4800,8.04,50
MN4010 KV580,14.8,T-MOTOR 15*5CF,75%,13.4,198.32,1450,5300,7.31,50
MN4010 KV580,14.8,T-MOTOR 15*5CF,85%,17.6,260.48,1800,5800,6.91,50
MN4010 KV580,14.8,T-MOTOR 15*5CF,100%,21.2,313.76,2000,6200,6.37,50
