Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U8lite KV100,12S (48V),T-MOTOR G27*8.8" CF,100%,8164,2.42,26.00,3777,1248,6.54,87 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,40%,2243,0.77,3.50,1896,168,13.35,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,42%,2401,0.82,3.90,1964,187,12.83,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,44%,2555,0.85,4.20,2020,202,12.67,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,46%,2881,0.99,5.10,2144,245,11.77,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,48%,3008,1.01,5.40,2190,259,11.6,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,50%,3231,1.08,6.00,2268,288,11.22,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,52%,3370,1.16,6.70,2339,322,10.48,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,54%,3624,1.21,7.20,2415,346,10.49,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,56%,3803,1.25,7.70,2462,370,10.29,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,58%,4033,1.33,8.50,2540,408,9.88,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,60%,4201,1.35,8.90,2581,427,9.83,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,62%,4353,1.4,9.50,2647,456,9.55,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,64%,4593,1.49,10.40,2694,499,9.2,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,66%,4791,1.53,11.00,2755,528,9.07,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,68%,4988,1.58,11.70,2812,562,8.88,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,70%,5153,1.6,12.20,2858,586,8.8,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,75%,5696,1.76,14.30,3002,686,8.3,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,80%,6171,1.87,16.20,3122,778,7.94,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,90%,7329,2.21,21.40,3379,1027,7.13,95 (Ambient Temperature: 27.81℃)
U8lite KV100,12S (48V),T-MOTOR G28*9.2" CF,100%,8716,2.73,29.30,3709,1406,6.2,95 (Ambient Temperature: 27.81℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,40%,1176,0.4,2.90,1383,70,16.9,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,42%,1237,0.41,3.10,1444,74,16.63,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,44%,1353,0.44,3.50,1497,84,16.11,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,46%,1465,0.48,3.90,1545,94,15.65,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,48%,1561,0.51,4.30,1587,103,15.13,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,50%,1648,0.52,4.60,1640,110,14.93,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,52%,1785,0.57,5.20,1708,125,14.3,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,54%,1905,0.6,5.60,1750,134,14.17,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,56%,2006,0.63,6.10,1811,146,13.7,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,58%,2153,0.67,6.70,1856,161,13.39,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,60%,2227,0.68,7.00,1899,168,13.26,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,62%,2334,0.71,7.50,1938,180,12.97,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,64%,2450,0.74,8.10,1984,194,12.6,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,66%,2549,0.77,8.60,2023,206,12.35,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,68%,2726,0.85,9.60,2082,230,11.83,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,70%,2877,0.87,10.30,2135,247,11.64,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,75%,3149,0.94,11.80,2238,283,11.12,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,80%,3479,1.02,13.60,2352,326,10.66,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,90%,4058,1.16,17.30,2557,415,9.77,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G28*9.2" CF,100%,4879,1.4,23.00,2798,552,8.84,71 (Ambient Temperature: 26.9℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,40%,1296,0.45,3.20,1363,77,16.88,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,42%,1416,0.48,3.60,1419,86,16.39,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,44%,1509,0.5,3.90,1454,94,16.12,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,46%,1654,0.55,4.40,1501,106,15.66,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,48%,1728,0.56,4.70,1554,113,15.32,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,50%,1833,0.6,5.20,1610,125,14.69,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,52%,2006,0.65,5.80,1652,139,14.41,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,54%,2128,0.68,6.30,1698,151,14.07,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,56%,2243,0.72,6.90,1756,166,13.54,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,58%,2357,0.77,7.60,1804,182,12.92,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,60%,2486,0.79,8.00,1849,192,12.95,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,62%,2612,0.82,8.60,1884,206,12.66,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,64%,2707,0.84,9.10,1941,218,12.39,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,66%,2862,0.88,9.80,1989,235,12.17,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,68%,2995,0.92,10.50,2020,252,11.88,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,70%,3142,0.98,11.50,2071,276,11.38,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,75%,3469,1.06,13.20,2188,317,10.95,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,80%,3774,1.15,15.20,2284,365,10.35,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,90%,4536,1.34,19.80,2484,475,9.55,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G29*9.5" CF,100%,5378,1.61,26.20,2712,629,8.55,87 (Ambient Temperature: 27.6℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,40%,1551,0.54,3.80,1321,91,17.01,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,42%,1684,0.59,4.30,1374,103,16.32,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,44%,1766,0.6,4.60,1418,110,16,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,46%,1850,0.63,5.00,1457,120,15.42,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,48%,1991,0.69,5.70,1513,137,14.55,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,50%,2132,0.73,6.20,1560,149,14.33,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,52%,2256,0.76,6.70,1603,161,14.03,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,54%,2420,0.81,7.40,1663,178,13.63,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,56%,2536,0.84,7.90,1699,190,13.38,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,58%,2676,0.87,8.50,1743,204,13.12,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,60%,2816,0.91,9.20,1793,221,12.75,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,62%,2923,0.94,9.80,1838,235,12.43,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,64%,3097,1,10.70,1886,257,12.06,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,66%,3229,1.05,11.50,1924,276,11.7,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,68%,3334,1.07,12.10,1967,290,11.48,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,70%,3475,1.11,12.90,2007,310,11.22,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,75%,3917,1.24,15.40,2120,370,10.6,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,80%,4237,1.33,17.50,2204,420,10.09,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,90%,5020,1.55,22.80,2383,547,9.17,103 (Ambient Temperature: 29.5℃)
U8lite KV150,6S (24V),T-MOTOR G30*10.5" CF,100%,5912,1.83,29.70,2573,713,8.29,103 (Ambient Temperature: 29.5℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,40%,1702,0.46,3.30,2925,158,10.74,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,42%,1839,0.5,3.70,3017,178,10.35,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,44%,1987,0.52,4.00,3134,192,10.35,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,46%,2121,0.55,4.40,3234,211,10.04,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,48%,2267,0.57,4.80,3340,230,9.84,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,50%,2376,0.6,5.20,3431,250,9.52,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,52%,2511,0.62,5.60,3531,269,9.34,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,54%,2717,0.69,6.30,3659,302,8.98,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,56%,2879,0.71,6.80,3765,326,8.82,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,58%,3022,0.73,7.20,3840,346,8.74,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,60%,3218,0.78,7.90,3984,379,8.49,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,62%,3397,0.82,8.60,4074,413,8.23,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,64%,3538,0.85,9.20,4188,442,8.01,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,66%,3696,0.88,9.80,4275,470,7.86,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,68%,3826,0.9,10.30,4333,494,7.74,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,70%,3967,0.92,10.80,4427,518,7.65,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,75%,4439,1.02,12.80,4686,614,7.22,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,80%,4879,1.08,14.40,4886,691,7.06,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,90%,5921,1.32,19.60,5373,941,6.29,56 (Ambient Temperature: 29.1℃)
U8lite KV150,12S (48V),T-MOTOR P22*6.6" CF,100%,7243,1.62,26.50,5924,1272,5.69,56 (Ambient Temperature: 29.1℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,40%,1662,0.54,4.80,1632,115,14.43,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,42%,1806,0.58,5.40,1709,130,13.94,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,44%,1951,0.62,6.00,1745,144,13.55,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,46%,2134,0.68,6.80,1828,163,13.08,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,48%,2254,0.69,7.20,1892,173,13.04,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,50%,2401,0.75,8.10,1953,194,12.35,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,52%,2566,0.8,8.90,2022,214,12.01,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,54%,2774,0.87,10.00,2093,240,11.56,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,56%,2892,0.88,10.50,2144,252,11.48,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,58%,3081,0.94,11.60,2210,278,11.07,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,60%,3208,0.97,12.40,2252,298,10.78,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,62%,3389,1.03,13.50,2312,324,10.46,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,64%,3502,1.04,14.10,2358,338,10.35,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,66%,3623,1.08,15.00,2394,360,10.06,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,68%,3801,1.1,15.80,2441,379,10.02,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,70%,3934,1.16,17.00,2497,408,9.64,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,75%,4376,1.25,19.60,2620,470,9.3,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,80%,4816,1.36,22.60,2776,542,8.88,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,90%,5563,1.56,29.00,2972,696,7.99,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G28*9.2" CF,100%,6761,1.88,38.70,3248,929,7.28,95 (Ambient Temperature: 27.3℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,40%,1879,0.64,5.60,1616,134,13.98,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,42%,2035,0.68,6.20,1662,149,13.68,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,44%,2173,0.73,6.90,1722,166,13.12,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,46%,2328,0.75,7.50,1775,180,12.93,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,48%,2486,0.8,8.30,1828,199,12.48,HOT (Ambient Temperature: 27.9℃)
U8lite KV190,6S (24V),T-MOTOR G29*9.5" CF,50%,2627,0.85,9.10,1899,218,12.03,HOT (Ambient Temperature: 27.9℃)
