Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U8lite L- KV95,G32*11,55%,48,4217,1.55,8.59,1966,409,10.30,87℃
U8lite L- KV95,G32*11,60%,48,4878,1.78,10.68,2110,508,9.60,87℃
U8lite L- KV95,G32*11,65%,48,5578,2.01,13.01,2252,618,9.02,87℃
U8lite L- KV95,G32*11,70%,47,6251,2.25,15.58,2383,740,8.45,87℃
U8lite L- KV95,G32*11,75%,47,6830,2.46,17.98,2504,853,8.01,87℃
U8lite L- KV95,G32*11,80%,47,7587,2.73,21.27,2636,1008,7.53,87℃
U8lite L- KV95,G32*11,90%,47,9144,3.27,29.14,2873,1375,6.65,87℃
U8lite L- KV95,G32*11,100%,47,10611,3.79,38.15,3068,1794,5.92,87℃
U8lite L- KV110,G28*9.2,40%,48,2022,0.65,3.49,1877,167,12.14,54℃
U8lite L- KV110,G28*9.2,45%,48,2515,0.80,4.69,2079,224,11.23,54℃
U8lite L- KV110,G28*9.2,50%,48,3075,0.96,6.13,2273,292,10.52,54℃
U8lite L- KV110,G28*9.2,55%,48,3550,1.12,7.69,2451,366,9.69,54℃
U8lite L- KV110,G28*9.2,60%,48,4007,1.27,9.12,2637,434,9.22,54℃
U8lite L- KV110,G28*9.2,65%,48,4543,1.43,11.30,2828,538,8.45,54℃
U8lite L- KV110,G28*9.2,70%,48,5217,1.63,13.53,3018,643,8.11,54℃
U8lite L- KV110,G28*9.2,75%,47,6083,1.90,16.98,3230,806,7.55,54℃
U8lite L- KV110,G28*9.2,80%,47,6832,2.13,19.99,3399,947,7.21,54℃
U8lite L- KV110,G28*9.2,90%,47,8273,2.55,26.57,3716,1256,6.59,54℃
U8lite L- KV110,G28*9.2,100%,47,9847,3.07,35.55,4063,1674,5.88,54℃
U8lite L- KV110,G29*9.5,40%,48,2377,0.80,4.30,1846,205,11.58,72℃
U8lite L- KV110,G29*9.5,45%,48,2872,0.96,5.44,2040,259,11.07,72℃
U8lite L- KV110,G29*9.5,50%,48,3403,1.14,7.07,2230,337,10.09,72℃
U8lite L- KV110,G29*9.5,55%,48,4005,1.33,8.84,2400,421,9.51,72℃
U8lite L- KV110,G29*9.5,60%,48,4620,1.52,10.97,2573,522,8.85,72℃
U8lite L- KV110,G29*9.5,65%,48,5223,1.72,13.13,2739,624,8.37,72℃
U8lite L- KV110,G29*9.5,70%,47,5997,1.96,16.13,2928,766,7.83,72℃
U8lite L- KV110,G29*9.5,75%,47,6902,2.26,19.93,3122,945,7.31,72℃
U8lite L- KV110,G29*9.5,80%,47,7674,2.50,23.30,3288,1103,6.96,72℃
U8lite L- KV110,G29*9.5,90%,47,9202,2.99,31.30,3578,1477,6.23,72℃
U8lite L- KV110,G29*9.5,100%,47,10945,3.55,41.45,3870,1947,5.62,72℃
U8lite L- KV110,G30*10.5,40%,48,2636,0.91,4.81,1808,230,11.48,91℃
U8lite L- KV110,G30*10.5,45%,48,3206,1.11,6.32,1988,301,10.64,91℃
U8lite L- KV110,G30*10.5,50%,48,3830,1.33,8.28,2178,395,9.71,91℃
U8lite L- KV110,G30*10.5,55%,48,4444,1.54,10.33,2349,492,9.04,91℃
U8lite L- KV110,G30*10.5,60%,48,5065,1.75,12.56,2511,597,8.48,91℃
U8lite L- KV110,G30*10.5,65%,48,5773,1.99,15.22,2668,723,7.98,91℃
U8lite L- KV110,G30*10.5,70%,47,6559,2.26,18.52,2835,879,7.46,91℃
U8lite L- KV110,G30*10.5,75%,47,7344,2.55,22.32,3014,1057,6.95,91℃
U8lite L- KV110,G30*10.5,80%,47,8173,2.82,26.44,3173,1250,6.54,91℃
U8lite L- KV110,G30*10.5,90%,47,9761,3.36,35.40,3442,1667,5.85,91℃
U8lite L- KV110,G30*10.5,100%,47,11202,3.87,45.80,3666,2147,5.22,91℃
