Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN705S KV140,T-MOTOR G27*8.8,75%,47.49,8276,2.65,26.14,3764,1242,6.67,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,80%,47.41,9252,2.96,30.83,3962,1462,6.33,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,90%,47.21,11340,3.60,42.15,4363,1990,5.70,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,100%,46.98,13459,4.25,55.40,4720,2603,5.17,HOT (Ambient Temperature: 5℃)
MN705S KV260,T-MOTOR G26*8.5,40%,23.64,2107,0.71,8.30,2107,196,10.74,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,42%,23.60,2319,0.76,9.40,2199,222,10.45,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,44%,23.55,2511,0.84,10.40,2292,245,10.25,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,46%,23.50,2743,0.91,11.60,2380,273,10.06,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,48%,23.44,3027,0.98,13.10,2500,307,9.86,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,50%,23.38,3283,1.06,14.80,2600,346,9.49,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,52%,23.31,3589,1.16,16.50,2720,385,9.33,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,54%,23.24,3826,1.23,18.30,2801,425,9.00,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,56%,23.17,4090,1.32,20.20,2898,468,8.74,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,58%,23.10,4334,1.39,22.00,2998,508,8.53,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,60%,23.04,4601,1.46,24.10,3079,555,8.29,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,62%,22.97,4853,1.54,26.20,3159,602,8.06,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,64%,22.90,5110,1.61,27.90,3221,639,8.00,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,66%,22.81,5342,1.70,29.50,3321,673,7.94,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,68%,22.73,5602,1.79,31.90,3380,725,7.73,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,70%,22.65,5860,1.87,34.70,3492,786,7.46,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,75%,22.44,6430,2.06,39.70,3660,891,7.22,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,80%,22.24,7041,2.25,45.90,3821,1021,6.90,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,90%,21.73,8426,2.62,60.30,4165,1310,6.43,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G26*8.5,100%,21.25,9720,2.91,77.10,4480,1638,5.93,64 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,40%,23.58,2177,0.83,8.70,2055,205,10.61,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,42%,23.53,2439,0.89,9.80,2136,231,10.58,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,44%,23.47,2559,0.96,10.80,2223,253,10.10,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,46%,23.41,2871,1.04,12.60,2342,295,9.73,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,48%,23.35,3077,1.12,13.80,2439,322,9.55,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,50%,23.28,3382,1.20,15.70,2555,366,9.25,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,52%,23.21,3677,1.27,17.30,2650,402,9.16,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,54%,23.12,3921,1.37,19.40,2746,449,8.74,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,56%,23.03,4273,1.46,22.00,2860,507,8.43,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,58%,22.95,4538,1.55,23.90,2927,549,8.27,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,60%,22.88,4837,1.62,26.20,3043,599,8.07,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,62%,22.81,5117,1.70,28.00,3118,639,8.01,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,64%,22.74,5382,1.78,30.30,3185,689,7.81,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,66%,22.65,5597,1.88,32.00,3234,725,7.72,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,68%,22.58,5919,1.95,34.60,3305,781,7.58,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,70%,22.51,6114,2.03,36.90,3385,831,7.36,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,75%,22.27,6803,2.24,43.30,3565,964,7.05,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,80%,22.04,7542,2.41,50.60,3741,1115,6.76,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,90%,21.48,8921,2.77,66.60,4050,1431,6.24,72 (Ambient Temperature: 34.5℃)
MN705S KV260,T-MOTOR G27*8.8,100%,21.09,10173,3.09,83.00,4335,1750,5.81,72 (Ambient Temperature: 34.5℃)
