Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN801S KV150,T-MOTOR G26*8.5,54%,47.90,5574,1.42,13.76,3438,659,8.45,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,56%,47.91,5878,1.51,14.79,3584,709,8.29,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,58%,47.90,6219,1.59,15.88,3697,761,8.17,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,60%,47.90,6383,1.69,17.07,3798,817,7.81,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,62%,47.91,6770,1.78,18.29,3912,876,7.73,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,64%,47.91,7033,1.86,19.40,4029,929,7.57,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,66%,47.90,7360,1.95,20.76,4148,994,7.40,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,68%,47.90,7710,2.04,22.09,4278,1058,7.28,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,70%,47.90,8005,2.13,23.45,4369,1123,7.12,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,75%,47.89,8754,2.35,27.02,4496,1294,6.76,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,80%,47.85,9604,2.59,30.86,4525,1476,6.50,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,90%,47.79,10724,3.10,40.20,4806,1921,5.58,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,100%,47.76,12076,3.75,57.34,5247,2738,4.41,86.5 (Ambient Temperature: 0℃)
