Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,40%,1405,0.5,2.60,980,85,16.59,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,42%,1487,0.53,2.80,1017,91,16.33,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,44%,1597,0.56,3.10,1064,100,16.05,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,46%,1714,0.6,3.30,1113,109,15.77,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,48%,1817,0.63,3.60,1141,118,15.4,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,50%,1934,0.67,3.90,1188,128,15.14,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,52%,2048,0.71,4.30,1234,138,14.8,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,54%,2180,0.75,4.60,1280,150,14.55,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,56%,2307,0.8,5.00,1348,163,14.11,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,58%,2431,0.84,5.40,1400,176,13.82,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,60%,2586,0.88,5.80,1425,190,13.64,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,62%,2749,0.93,6.30,1489,205,13.43,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,64%,2879,0.98,6.70,1533,219,13.16,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,66%,3032,1.03,7.20,1580,236,12.86,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,68%,3161,1.07,7.70,1626,252,12.57,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,70%,3297,1.12,8.20,1670,266,12.38,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,75%,3655,1.24,9.50,1775,309,11.81,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,80%,4144,1.39,11.30,1899,367,11.28,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,90%,4899,1.62,14.30,2098,465,10.54,/
U10II KV100,8S (32V),T-MOTOR G30*10.5CF,100%,5717,1.9,18.20,2309,593,9.64,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,40%,1651,0.62,3.20,949,105,15.75,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,42%,1761,0.65,3.50,986,113,15.52,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,44%,1882,0.69,3.80,1032,124,15.2,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,46%,2000,0.73,4.10,1059,135,14.84,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,48%,2133,0.78,4.50,1106,147,14.52,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,50%,2257,0.83,4.90,1148,159,14.2,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,52%,2403,0.86,5.30,1193,171,14.07,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,54%,2538,0.91,5.70,1240,186,13.67,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,56%,2689,0.96,6.10,1287,200,13.42,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,58%,2828,1.02,6.70,1334,217,13.03,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,60%,2935,1.07,7.20,1380,233,12.59,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,62%,2964,1.12,7.70,1421,250,11.86,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,64%,3245,1.19,8.20,1464,269,12.07,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,66%,3418,1.24,8.80,1514,285,11.99,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,68%,3511,1.3,9.30,1544,304,11.56,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,70%,3739,1.36,10.00,1600,324,11.52,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,75%,4119,1.51,11.50,1687,375,10.98,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,80%,4535,1.65,13.20,1792,430,10.54,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,90%,5518,2.04,17.50,1989,571,9.65,/
U10II KV100,8S (32V),T-MOTOR G32*11CF,100%,6430,2.38,22.10,2196,722,8.9,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,40%,1733,0.58,3.00,1284,120,14.41,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,42%,1856,0.61,3.30,1342,132,14.1,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,44%,2007,0.66,3.60,1404,145,13.88,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,46%,2172,0.7,4.00,1468,160,13.57,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,48%,2295,0.76,4.30,1513,175,13.12,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,50%,2371,0.8,4.70,1591,192,12.37,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,52%,2619,0.86,5.20,1656,208,12.56,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,54%,2804,0.91,5.60,1713,225,12.44,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,56%,2960,0.95,6.00,1768,244,12.14,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,58%,3199,1.01,6.50,1828,265,12.08,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,60%,3422,1.1,7.40,1911,299,11.46,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,62%,3584,1.15,7.80,1966,317,11.3,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,64%,3742,1.2,8.30,2003,338,11.08,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,66%,3963,1.26,8.90,2061,360,11,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,68%,4082,1.3,9.40,2112,380,10.74,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,70%,4272,1.35,10.00,2160,405,10.55,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,75%,4688,1.48,11.50,2303,464,10.1,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,80%,5177,1.63,13.10,2411,529,9.78,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,90%,6145,1.95,16.80,2651,680,9.04,/
U10II KV100,10S (40V),T-MOTOR G29*9.5CF,100%,7200,2.28,21.40,2917,865,8.32,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,40%,2038,0.7,3.50,1248,141,14.48,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,42%,2236,0.75,3.80,1308,155,14.43,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,44%,2300,0.81,4.20,1366,170,13.55,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,46%,2479,0.86,4.60,1426,187,13.27,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,48%,2702,0.93,5.10,1491,206,13.09,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,50%,2875,0.98,5.60,1545,225,12.8,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,52%,3037,1.04,6.10,1604,245,12.4,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,54%,3235,1.1,6.60,1661,266,12.17,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,56%,3397,1.16,7.10,1716,286,11.86,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,58%,3670,1.23,7.70,1767,312,11.75,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,60%,3829,1.29,8.30,1821,334,11.46,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,62%,4147,1.39,9.30,1907,375,11.05,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,64%,4282,1.43,9.80,1949,397,10.78,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,66%,4458,1.52,10.40,1992,420,10.6,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,68%,4719,1.58,11.00,2039,447,10.57,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,70%,4846,1.64,11.70,2082,474,10.21,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,75%,5335,1.78,13.40,2216,542,9.84,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,80%,5819,1.94,15.30,2322,618,9.41,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,90%,6912,2.29,19.60,2554,794,8.7,/
U10II KV100,10S (40V),T-MOTOR G30*10.5CF,100%,8158,2.69,24.90,2798,1011,8.07,/
U10II KV100,10S (40V),T-MOTOR G32*11CF,40%,2390,0.87,4.30,1198,174,13.71,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,42%,2565,0.94,4.70,1253,192,13.36,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,44%,2744,1,5.20,1309,211,13.02,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,46%,2932,1.07,5.70,1363,231,12.69,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,48%,3116,1.14,6.20,1415,253,12.33,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,50%,3348,1.21,6.80,1470,276,12.13,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,52%,3501,1.28,7.40,1522,298,11.74,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,54%,3738,1.35,8.00,1576,323,11.57,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,56%,3857,1.43,8.70,1634,351,10.99,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,58%,4125,1.51,9.30,1684,378,10.9,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,60%,4338,1.59,10.00,1730,406,10.69,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,62%,4474,1.66,10.70,1778,433,10.32,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,64%,4691,1.74,11.40,1850,463,10.13,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,66%,5060,1.87,12.70,1922,516,9.81,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,68%,5279,1.97,13.50,1944,546,9.67,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,70%,5486,2.04,14.20,2000,576,9.51,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,75%,6016,2.23,16.30,2107,661,9.1,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,80%,6466,2.41,18.50,2201,748,8.64,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,90%,7634,2.83,23.60,2429,955,7.99,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,10S (40V),T-MOTOR G32*11CF,100%,8790,3.28,29.70,2641,1203,7.3,74.8 (Ambient Temperature: 16.9℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,40%,2087,0.66,3.40,1604,167,12.5,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,42%,2298,0.72,3.90,1675,187,12.3,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,44%,2425,0.79,4.30,1766,208,11.66,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,46%,2732,0.84,4.70,1841,226,11.54,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,48%,3007,0.93,5.40,1955,262,11.46,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,50%,3119,0.97,5.80,2016,279,11.16,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,52%,3376,1.04,6.30,2081,305,11.07,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,54%,3578,1.1,6.80,2144,327,10.92,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,56%,3722,1.14,7.20,2206,351,10.6,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,58%,3947,1.21,7.80,2274,379,10.41,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,60%,4053,1.25,8.30,2333,401,10.09,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,62%,4348,1.34,9.00,2391,437,9.96,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,64%,4507,1.39,9.50,2456,459,9.82,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,66%,4692,1.44,10.10,2511,488,9.62,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,68%,4846,1.5,10.70,2589,516,9.38,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,70%,5115,1.57,11.40,2645,553,9.24,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,75%,5496,1.69,12.60,2735,610,9.01,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,80%,6070,1.85,14.60,2932,709,8.56,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,90%,7285,2.23,19.00,3223,922,7.89,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G28*9.2CF,100%,8629,2.62,24.20,3517,1176,7.33,51.8 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,40%,2424,0.77,3.90,1583,190,12.79,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,42%,2611,0.85,4.40,1654,214,12.21,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,44%,2859,0.91,4.80,1724,235,12.17,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,46%,3026,0.98,5.30,1791,258,11.73,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,48%,3480,1.09,6.20,1909,301,11.54,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,50%,3556,1.14,6.60,1962,319,11.14,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,52%,3851,1.22,7.20,2044,350,11.01,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,54%,4090,1.29,7.80,2102,379,10.8,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,56%,4270,1.35,8.30,2162,405,10.54,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,58%,4439,1.4,8.90,2227,431,10.31,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,60%,4701,1.49,9.60,2293,468,10.04,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,62%,4913,1.55,10.20,2348,495,9.91,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,64%,5156,1.63,10.90,2401,530,9.73,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,66%,5282,1.67,11.50,2458,557,9.49,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,68%,5587,1.76,12.30,2509,598,9.33,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,70%,5737,1.82,12.90,2561,627,9.14,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,75%,6353,2.01,14.90,2712,724,8.77,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,80%,6938,2.19,16.90,2833,821,8.44,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,90%,8350,2.58,21.70,3114,1055,7.91,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G29*9.5CF,100%,9561,3.04,27.70,3392,1344,7.11,64.7 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,40%,2921,0.96,4.60,1544,226,12.93,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,42%,3120,1.05,5.20,1613,253,12.35,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,44%,3369,1.11,5.70,1682,278,12.12,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,46%,3498,1.19,6.30,1752,304,11.49,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,48%,3794,1.27,6.90,1817,334,11.37,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,50%,4208,1.41,8.00,1918,388,10.84,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,52%,4401,1.47,8.50,1971,412,10.69,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,54%,4698,1.55,9.20,2023,446,10.53,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,56%,4855,1.64,9.80,2076,478,10.15,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,58%,5119,1.73,10.60,2151,515,9.94,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,60%,5418,1.8,11.30,2212,550,9.85,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,62%,5478,1.86,12.00,2270,582,9.42,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,64%,5834,1.96,12.80,2319,624,9.34,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,66%,6012,2.02,13.50,2375,656,9.16,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,68%,6242,2.1,14.40,2427,698,8.94,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,70%,6502,2.19,15.20,2475,738,8.81,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,75%,6982,2.35,17.20,2614,834,8.36,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,80%,7836,2.62,19.90,2729,967,8.1,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,90%,9343,3.06,25.30,2977,1229,7.6,82.2 (Ambient Temperature: 20℃)
U10II KV100,12S (48V),T-MOTOR G30*10.5CF,100%,10600,3.59,32.40,3240,1571,6.74,82.2 (Ambient Temperature: 20℃)
