Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN4110 KV300,T16*8,100%,23.29,2683,0.56,18.89,5628,440,6.10,76 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,40%,23.77,690,0.14,2.23,2809,53,13.02,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,42%,23.74,788,0.16,2.68,2983,64,12.37,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,44%,23.72,841,0.17,2.95,3079,70,12.03,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,46%,23.71,904,0.18,3.26,3184,77,11.69,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,48%,23.69,955,0.19,3.52,3268,83,11.46,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,50%,23.67,1018,0.20,3.84,3367,91,11.20,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,52%,23.65,1079,0.22,4.18,3462,99,10.92,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,54%,23.64,1141,0.23,4.54,3562,107,10.64,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,56%,23.62,1213,0.24,4.96,3659,117,10.36,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,58%,23.61,1264,0.25,5.24,3730,124,10.21,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,60%,23.59,1333,0.26,5.66,3822,133,9.99,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,62%,23.57,1408,0.28,6.12,3922,144,9.76,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,64%,23.55,1474,0.29,6.53,4011,154,9.58,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,66%,23.53,1547,0.31,7.03,4103,165,9.36,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,68%,23.51,1616,0.32,7.50,4191,176,9.16,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,70%,23.49,1688,0.33,8.06,4288,189,8.92,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,72%,23.48,1761,0.34,8.51,4368,200,8.82,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,74%,23.46,1824,0.36,9.06,4453,213,8.58,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,76%,23.43,1909,0.38,9.72,4543,228,8.39,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,78%,23.41,1973,0.39,10.29,4630,241,8.19,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,80%,23.40,2049,0.40,10.86,4717,254,8.06,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,90%,23.32,2461,0.48,14.43,5120,337,7.31,77 (Ambient Temperature: 15℃)
MN4110 KV300,P17*5.8,100%,23.23,2947,0.58,19.35,5587,449,6.56,77 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,40%,23.76,850,0.18,2.79,2744,66,12.82,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,42%,23.74,919,0.20,3.13,2836,74,12.37,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,44%,23.71,1026,0.22,3.71,2996,88,11.67,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,46%,23.69,1100,0.24,4.08,3090,97,11.38,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,48%,23.67,1163,0.25,4.46,3188,106,11.01,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,50%,23.65,1225,0.26,4.78,3262,113,10.85,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,52%,23.62,1298,0.27,5.23,3356,124,10.51,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,54%,23.61,1369,0.29,5.66,3447,134,10.23,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,56%,23.58,1448,0.30,6.16,3536,145,9.97,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,58%,23.55,1517,0.32,6.66,3624,157,9.67,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,60%,23.54,1566,0.33,6.98,3686,164,9.53,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,62%,23.51,1649,0.35,7.56,3773,178,9.28,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,64%,23.48,1723,0.36,8.15,3860,191,9.01,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,66%,23.46,1806,0.38,8.75,3946,205,8.80,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,68%,23.48,1885,0.40,9.32,4028,219,8.62,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,70%,23.48,1965,0.41,9.95,4118,234,8.41,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,72%,23.47,2049,0.43,10.64,4196,250,8.21,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,74%,23.46,2125,0.44,11.27,4279,264,8.04,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,76%,23.44,2206,0.46,11.97,4347,280,7.86,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,78%,23.43,2283,0.48,12.68,4427,297,7.68,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,80%,23.41,2364,0.49,13.38,4509,313,7.55,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,90%,23.29,2776,0.58,17.38,4855,405,6.86,81 (Ambient Temperature: 15℃)
MN4110 KV300,P18*6.1,100%,23.18,3224,0.68,23.10,5261,535,6.02,81 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,40%,23.81,827,0.17,3.18,3192,76,10.92,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,42%,23.79,879,0.18,3.49,3301,83,10.57,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,44%,23.78,944,0.20,3.85,3409,92,10.30,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,46%,23.76,1011,0.21,4.25,3510,101,10.01,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,48%,23.74,1084,0.23,4.72,3623,112,9.67,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,50%,23.73,1124,0.24,4.98,3710,118,9.51,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,52%,23.71,1192,0.25,5.45,3816,129,9.22,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,54%,23.70,1267,0.27,5.94,3921,141,9.00,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,56%,23.68,1342,0.28,6.46,4021,153,8.77,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,58%,23.67,1412,0.30,6.95,4127,165,8.58,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,60%,23.66,1491,0.31,7.58,4237,179,8.31,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,62%,23.65,1553,0.32,8.02,4325,190,8.19,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,64%,23.63,1635,0.34,8.71,4424,206,7.94,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,66%,23.62,1703,0.36,9.30,4530,220,7.75,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,68%,23.61,1795,0.38,10.06,4625,238,7.56,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,70%,23.60,1859,0.39,10.66,4725,252,7.39,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,72%,23.59,1934,0.40,11.37,4822,268,7.21,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,74%,23.56,2024,0.42,12.16,4915,286,7.07,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,76%,23.53,2102,0.44,12.92,5004,304,6.91,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,78%,23.52,2180,0.45,13.71,5099,323,6.76,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,80%,23.51,2255,0.47,14.49,5181,341,6.62,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,90%,23.43,2671,0.56,19.15,5593,449,5.95,90 (Ambient Temperature: 15℃)
MN4110 KV340,T16*8,100%,23.41,3161,0.66,25.73,6082,602,5.25,90 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,40%,23.78,893,0.18,3.28,3181,78,11.44,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,42%,23.76,957,0.19,3.60,3280,86,11.18,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,44%,23.74,1026,0.21,3.98,3391,95,10.85,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,46%,23.72,1100,0.22,4.39,3500,104,10.57,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,48%,23.70,1176,0.24,4.86,3610,115,10.21,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,50%,23.69,1235,0.25,5.16,3693,122,10.11,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,52%,23.67,1308,0.26,5.61,3799,133,9.84,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,54%,23.65,1383,0.27,6.09,3903,144,9.61,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,56%,23.63,1457,0.29,6.57,4001,155,9.39,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,58%,23.60,1543,0.30,7.16,4107,169,9.13,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,60%,23.57,1626,0.32,7.80,4209,184,8.84,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,62%,23.56,1696,0.33,8.24,4288,194,8.74,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,64%,23.53,1771,0.34,8.90,4400,209,8.46,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,66%,23.52,1840,0.36,9.45,4484,222,8.28,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,68%,23.48,1947,0.38,10.22,4595,240,8.12,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,70%,23.46,2019,0.40,10.87,4689,255,7.92,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,72%,23.42,2108,0.41,11.64,4784,273,7.73,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,74%,23.39,2202,0.43,12.41,4872,290,7.59,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,76%,23.36,2293,0.45,13.19,4958,308,7.44,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,78%,23.33,2370,0.46,13.99,5048,326,7.26,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,80%,23.31,2463,0.48,14.81,5134,345,7.14,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,90%,23.26,2905,0.57,19.34,5546,450,6.46,81 (Ambient Temperature: 15℃)
MN4110 KV340,P17*5.8,100%,23.10,3423,0.67,25.84,5989,597,5.73,81 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,40%,23.73,1079,0.23,4.07,3079,97,11.15,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,42%,23.71,1162,0.25,4.54,3187,108,10.80,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,44%,23.69,1232,0.26,4.95,3282,117,10.49,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,46%,23.67,1314,0.28,5.47,3382,129,10.15,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,48%,23.65,1390,0.29,5.96,3478,141,9.87,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,50%,23.63,1477,0.31,6.55,3578,155,9.55,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,52%,23.60,1553,0.33,7.11,3675,168,9.25,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,54%,23.59,1622,0.34,7.54,3748,178,9.11,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,56%,23.56,1706,0.36,8.22,3848,194,8.81,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,58%,23.53,1786,0.38,8.82,3944,208,8.60,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,60%,23.51,1862,0.39,9.46,4030,222,8.38,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,62%,23.47,1958,0.41,10.21,4116,240,8.17,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,64%,23.44,2035,0.43,10.95,4205,257,7.93,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,66%,23.41,2123,0.45,11.69,4287,274,7.76,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,68%,23.38,2216,0.47,12.46,4365,291,7.61,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,70%,23.35,2300,0.48,13.24,4442,309,7.44,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,72%,23.33,2394,0.50,14.16,4529,330,7.25,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,74%,23.31,2483,0.52,15.03,4612,350,7.09,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,76%,23.29,2564,0.54,15.95,4687,371,6.90,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,78%,23.27,2659,0.56,16.91,4763,393,6.76,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,80%,23.25,2745,0.58,17.85,4835,415,6.62,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,90%,23.20,3187,0.67,23.17,5174,537,5.93,102 (Ambient Temperature: 15℃)
MN4110 KV340,P18*6.1,100%,23.04,3634,0.76,30.73,5509,708,5.13,102 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,40%,23.86,786,0.14,3.07,3748,73,10.73,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,42%,23.85,845,0.15,3.39,3884,81,10.45,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,44%,23.85,901,0.17,3.69,4015,88,10.23,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,46%,23.84,962,0.18,4.08,4149,97,9.90,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,48%,23.82,1034,0.19,4.54,4289,108,9.56,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,50%,23.82,1091,0.20,4.85,4409,116,9.45,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,52%,23.80,1163,0.21,5.31,4547,126,9.20,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,54%,23.79,1235,0.22,5.79,4680,138,8.96,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,56%,23.78,1309,0.23,6.27,4817,149,8.78,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,58%,23.76,1381,0.25,6.79,4948,161,8.56,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,60%,23.75,1472,0.26,7.42,5083,176,8.35,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,62%,23.74,1535,0.28,7.92,5197,188,8.17,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,64%,23.72,1611,0.29,8.53,5330,202,7.96,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,66%,23.71,1688,0.30,9.15,5461,217,7.78,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,68%,23.69,1760,0.31,9.79,5585,232,7.59,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,70%,23.68,1847,0.33,10.48,5711,248,7.44,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,72%,23.66,1929,0.34,11.20,5831,265,7.28,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,74%,23.65,2012,0.36,11.94,5948,282,7.12,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,76%,23.63,2101,0.38,12.75,6067,301,6.97,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,78%,23.61,2220,0.40,14.01,6245,331,6.71,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,80%,23.60,2323,0.42,14.90,6362,352,6.61,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,90%,23.54,2746,0.49,19.44,6904,458,6.00,74 (Ambient Temperature: 15℃)
MN4110 KV400,P15*5,100%,23.43,3293,0.59,26.14,7529,612,5.38,74 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,40%,24.06,979,0.19,3.89,3695,94,10.45,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,42%,24.05,1019,0.19,4.13,3833,99,10.25,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,44%,24.03,1089,0.20,4.56,3959,110,9.93,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,46%,24.02,1164,0.22,5.04,4087,121,9.61,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,48%,24.01,1248,0.24,5.54,4217,133,9.39,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,50%,24.00,1324,0.25,5.99,4325,144,9.20,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,52%,23.98,1410,0.26,6.57,4456,158,8.95,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,54%,23.97,1509,0.28,7.23,4594,173,8.70,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,56%,23.95,1592,0.30,7.79,4713,187,8.53,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,58%,23.93,1685,0.31,8.53,4839,204,8.26,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,60%,23.92,1789,0.33,9.29,4956,222,8.06,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,62%,23.90,1879,0.35,10.02,5082,239,7.84,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,64%,23.89,1985,0.37,10.78,5180,257,7.71,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,66%,23.87,2084,0.39,11.63,5303,277,7.51,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,68%,23.86,2156,0.40,12.33,5432,294,7.33,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,70%,23.84,2242,0.42,13.17,5547,314,7.14,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,72%,23.83,2326,0.43,14.05,5665,335,6.95,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,74%,23.82,2437,0.45,15.01,5766,358,6.81,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,76%,23.80,2533,0.47,16.03,5873,382,6.64,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,78%,23.79,2621,0.49,16.89,5988,402,6.52,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,80%,23.79,2707,0.50,17.86,6101,425,6.37,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,90%,23.69,3253,0.60,24.25,6603,574,5.66,103 (Ambient Temperature: 15℃)
MN4110 KV400,P16*5.4,100%,23.57,3807,0.71,32.71,7128,771,4.94,103 (Ambient Temperature: 15℃)
