Type,Propeller,Throttle,Voltage (V),Current (A),Power (W),RPM,Torque (N*m),Thrust (g),Efficiency (g/W),Operating Temperature (℃)
MN5008 KV340,T-MOTOR P18*6.1CF,80%,22.86,22.02,503,5370,0.70,3262,6.48,88
MN5008 KV340,T-MOTOR P18*6.1CF,90%,22.63,29.46,667,5842,0.83,3909,5.86,88
MN5008 KV340,T-MOTOR P18*6.1CF,100%,22.51,33.50,754,6049,0.89,4215,5.59,88
MN5008 KV400,T-MOTOR P15*5CF,40%,23.48,2.82,66,3542,0.12,672,10.16,42
MN5008 KV400,T-MOTOR P15*5CF,45%,23.44,3.78,89,3977,0.15,845,9.52,42
MN5008 KV400,T-MOTOR P15*5CF,50%,23.40,4.95,116,4402,0.19,1033,8.92,42
MN5008 KV400,T-MOTOR P15*5CF,55%,23.35,6.26,146,4789,0.22,1223,8.37,42
MN5008 KV400,T-MOTOR P15*5CF,60%,23.30,7.66,178,5151,0.26,1409,7.9,42
MN5008 KV400,T-MOTOR P15*5CF,65%,23.25,9.26,215,5489,0.29,1610,7.48,42
MN5008 KV400,T-MOTOR P15*5CF,70%,23.19,10.98,255,5816,0.33,1811,7.11,42
MN5008 KV400,T-MOTOR P15*5CF,75%,23.13,13.04,302,6178,0.38,2048,6.79,42
MN5008 KV400,T-MOTOR P15*5CF,80%,23.06,15.31,353,6517,0.42,2286,6.48,42
MN5008 KV400,T-MOTOR P15*5CF,90%,22.90,20.60,472,7180,0.50,2782,5.9,42
MN5008 KV400,T-MOTOR P15*5CF,100%,22.81,23.44,535,7502,0.55,3027,5.66,42
MN5008 KV400,T-MOTOR P16*5.4CF,40%,23.46,3.22,76,3429,0.15,803,10.63,58
MN5008 KV400,T-MOTOR P16*5.4CF,45%,23.41,4.46,104,3874,0.19,1021,9.78,58
MN5008 KV400,T-MOTOR P16*5.4CF,50%,23.36,5.93,138,4303,0.24,1259,9.1,58
MN5008 KV400,T-MOTOR P16*5.4CF,55%,23.31,7.54,176,4665,0.27,1492,8.5,58
MN5008 KV400,T-MOTOR P16*5.4CF,60%,23.25,9.28,216,5016,0.32,1722,7.98,58
MN5008 KV400,T-MOTOR P16*5.4CF,65%,23.19,11.19,260,5341,0.36,1956,7.53,58
MN5008 KV400,T-MOTOR P16*5.4CF,70%,23.13,13.16,304,5645,0.41,2185,7.18,58
MN5008 KV400,T-MOTOR P16*5.4CF,75%,23.05,15.66,361,5975,0.46,2458,6.81,58
MN5008 KV400,T-MOTOR P16*5.4CF,80%,22.96,18.53,425,6293,0.52,2750,6.47,58
MN5008 KV400,T-MOTOR P16*5.4CF,90%,22.77,24.84,566,6896,0.63,3323,5.87,58
MN5008 KV400,T-MOTOR P16*5.4CF,100%,22.67,28.16,638,7165,0.67,3591,5.63,58
MN5008 KV400,T-MOTOR P17*5.8CF,40%,23.44,3.71,87,3348,0.18,917,10.54,81
MN5008 KV400,T-MOTOR P17*5.8CF,45%,23.39,5.18,121,3777,0.23,1170,9.65,81
MN5008 KV400,T-MOTOR P17*5.8CF,50%,23.33,6.99,163,4192,0.28,1447,8.88,81
MN5008 KV400,T-MOTOR P17*5.8CF,55%,23.26,8.88,207,4540,0.33,1712,8.29,81
MN5008 KV400,T-MOTOR P17*5.8CF,60%,23.20,10.92,253,4867,0.38,1963,7.75,81
MN5008 KV400,T-MOTOR P17*5.8CF,65%,23.13,13.17,305,5175,0.44,2230,7.32,81
MN5008 KV400,T-MOTOR P17*5.8CF,70%,23.05,15.72,362,5478,0.49,2491,6.88,81
MN5008 KV400,T-MOTOR P17*5.8CF,75%,22.97,18.31,421,5770,0.55,2757,6.56,81
MN5008 KV400,T-MOTOR P17*5.8CF,80%,22.87,21.65,495,6062,0.61,3090,6.24,81
MN5008 KV400,T-MOTOR P17*5.8CF,90%,22.65,28.93,655,6610,0.73,3697,5.64,81
MN5008 KV400,T-MOTOR P17*5.8CF,100%,22.53,32.83,740,6860,0.78,3982,5.38,81
