Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN4112 KV320,T16*8",90%,23.65,2759,0.58,18.66,5677,441,6.25,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",100%,23.54,3370,0.71,26.05,6230,613,5.50,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",40%,23.93,867,0.16,3.70,3928,88,9.80,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",42%,23.91,932,0.17,4.07,4066,97,9.56,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",44%,23.91,997,0.18,4.49,4215,107,9.29,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",46%,23.90,1063,0.20,4.85,4342,116,9.17,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",48%,23.89,1144,0.21,5.40,4499,129,8.88,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",50%,23.88,1223,0.23,5.88,4648,140,8.72,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",52%,23.87,1299,0.24,6.39,4790,152,8.53,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",54%,23.86,1377,0.25,6.96,4935,166,8.30,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",56%,23.84,1466,0.27,7.65,5083,182,8.04,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",58%,23.84,1539,0.28,8.16,5212,194,7.91,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",60%,23.82,1635,0.30,8.85,5356,211,7.75,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",62%,23.81,1723,0.31,9.56,5497,228,7.57,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",64%,23.80,1808,0.33,10.27,5636,244,7.40,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",66%,23.78,1898,0.34,11.03,5768,262,7.23,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",68%,23.77,1986,0.36,11.81,5901,281,7.07,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",70%,23.76,2084,0.38,12.61,6036,300,6.95,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",72%,23.74,2235,0.40,14.01,6233,332,6.72,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",74%,23.72,2327,0.42,14.96,6370,355,6.56,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",76%,23.71,2406,0.43,15.73,6478,373,6.45,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",78%,23.70,2496,0.45,16.60,6607,393,6.34,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",80%,23.68,2589,0.46,17.59,6731,416,6.22,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",90%,23.60,3093,0.56,23.17,7324,547,5.66,79 (Ambient Temperature: 15℃)
MN4112 KV420,P15*5",100%,23.48,3752,0.68,31.41,8025,738,5.09,79 (Ambient Temperature: 15℃)
