Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN3508 KV380,22.2,T-MOTOR 14*4.8CF,85%,9.8,217.56,1580,6000,7.26,63
MN3508 KV380,22.2,T-MOTOR 14*4.8CF,100%,11.5,255.3,1730,6500,6.78,63
MN3508 KV380,22.2,T-MOTOR 15*5CF,50%,3.6,79.92,820,3900,10.26,70
MN3508 KV380,22.2,T-MOTOR 15*5CF,65%,6.1,135.42,1200,4800,8.86,70
MN3508 KV380,22.2,T-MOTOR 15*5CF,75%,9.5,210.9,1500,5300,7.11,70
MN3508 KV380,22.2,T-MOTOR 15*5CF,85%,11.3,250.86,1700,5700,6.78,70
MN3508 KV380,22.2,T-MOTOR 15*5CF,100%,13.3,295.26,1880,5900,6.37,70
MN3508 KV580,14.8,T-MOTOR 12*4CF,50%,2.2,32.56,360,4000,11.06,43
MN3508 KV580,14.8,T-MOTOR 12*4CF,65%,4.2,62.16,600,5200,9.65,43
MN3508 KV580,14.8,T-MOTOR 12*4CF,75%,6.1,90.28,770,5900,8.53,43
MN3508 KV580,14.8,T-MOTOR 12*4CF,85%,8,118.40,910,6500,7.69,43
MN3508 KV580,14.8,T-MOTOR 12*4CF,100%,9.6,142.08,1050,7000,7.39,43
MN3508 KV580,14.8,T-MOTOR 13*4.4CF,50%,2.6,38.48,450,4000,11.69,43
MN3508 KV580,14.8,T-MOTOR 13*4.4CF,65%,5,74.00,710,5200,9.59,43
MN3508 KV580,14.8,T-MOTOR 13*4.4CF,75%,7,103.60,900,5700,8.69,43
MN3508 KV580,14.8,T-MOTOR 13*4.4CF,85%,9.3,137.64,1120,6300,8.14,43
MN3508 KV580,14.8,T-MOTOR 13*4.4CF,100%,11.3,167.24,1230,6600,7.35,43
MN3508 KV580,14.8,T-MOTOR 14*4.8CF,50%,3.7,54.76,600,3800,10.96,55
MN3508 KV580,14.8,T-MOTOR 14*4.8CF,65%,7,103.60,930,4600,8.98,55
MN3508 KV580,14.8,T-MOTOR 14*4.8CF,75%,9.7,143.56,1150,4900,8.01,55
MN3508 KV580,14.8,T-MOTOR 14*4.8CF,85%,12.9,190.92,1350,5700,7.07,55
MN3508 KV580,14.8,T-MOTOR 14*4.8CF,100%,15.2,224.96,1520,6100,6.76,55
MN3508 KV700,11.1,T-MOTOR 12*4CF,50%,2.3,25.53,280,3800,10.97,42
MN3508 KV700,11.1,T-MOTOR 12*4CF,65%,4.5,49.95,460,4900,9.21,42
MN3508 KV700,11.1,T-MOTOR 12*4CF,75%,6.3,69.93,620,5300,8.87,42
MN3508 KV700,11.1,T-MOTOR 12*4CF,85%,8.4,93.24,790,6000,8.47,42
MN3508 KV700,11.1,T-MOTOR 12*4CF,100%,10.2,113.22,860,6400,7.60,42
MN3508 KV700,11.1,T-MOTOR 13*4.4CF,50%,2.6,28.86,330,3600,11.43,44
MN3508 KV700,11.1,T-MOTOR 13*4.4CF,65%,5.2,57.72,560,4600,9.70,44
MN3508 KV700,11.1,T-MOTOR 13*4.4CF,75%,7.4,82.14,720,5300,8.77,44
MN3508 KV700,11.1,T-MOTOR 13*4.4CF,85%,9.8,108.78,880,5800,8.09,44
MN3508 KV700,11.1,T-MOTOR 13*4.4CF,100%,12,133.20,1020,6200,7.66,44
MN3508 KV700,14.8,T-MOTOR 11*3.7CF,50%,3.1,45.88,380,5300,8.28,41
MN3508 KV700,14.8,T-MOTOR 11*3.7CF,65%,5.6,82.88,630,6500,7.60,41
MN3508 KV700,14.8,T-MOTOR 11*3.7CF,75%,7.9,116.92,780,7200,6.67,41
MN3508 KV700,14.8,T-MOTOR 11*3.7CF,85%,10.5,155.40,960,8000,6.18,41
MN3508 KV700,14.8,T-MOTOR 11*3.7CF,100%,12.7,187.96,1110,8500,5.91,41
MN3508 KV700,14.8,T-MOTOR 12*4CF,50%,3.8,56.24,460,4700,8.18,48
MN3508 KV700,14.8,T-MOTOR 12*4CF,65%,7.4,109.52,800,6300,7.30,48
MN3508 KV700,14.8,T-MOTOR 12*4CF,75%,10,148.00,1000,6900,6.76,48
MN3508 KV700,14.8,T-MOTOR 12*4CF,85%,13.5,199.80,1200,7500,6.01,48
MN3508 KV700,14.8,T-MOTOR 12*4CF,100%,16.1,238.28,1360,8100,5.71,48
