Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g / W),Operating Temperature (℃)
MN805S KV170,T-MOTOR G26*8.5,42%,48.04,3860,1.02,8.63,2764,415,9.30,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,44%,48.05,4202,1.11,9.64,2871,463,9.07,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,46%,48.05,4518,1.19,10.66,2972,512,8.82,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,48%,48.04,4900,1.31,11.90,3112,572,8.57,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,50%,48.04,5198,1.41,13.06,3220,627,8.28,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,52%,47.99,5697,1.55,14.70,3359,705,8.07,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,54%,47.98,6174,1.68,16.34,3487,784,7.87,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,56%,47.99,6691,1.84,18.36,3635,881,7.59,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,58%,47.97,7083,1.97,19.99,3743,959,7.38,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,60%,47.96,7541,2.10,21.78,3846,1045,7.21,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,62%,47.96,8023,2.24,23.77,3969,1140,7.04,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,64%,47.96,8563,2.38,25.84,4079,1239,6.91,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,66%,47.95,9085,2.54,28.15,4198,1350,6.73,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,68%,47.94,9480,2.69,30.78,4325,1475,6.43,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,70%,47.94,9871,2.82,32.73,4414,1569,6.29,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,75%,47.91,10724,3.16,39.06,4661,1871,5.73,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,80%,47.93,11590,3.52,45.76,4903,2193,5.28,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,90%,47.88,13542,4.30,61.64,5342,2951,4.59,87.5 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,100%,47.84,15993,5.07,80.37,5758,3845,4.16,87.5 (Ambient Temperature :0℃)
