Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN6007 II KV320,P21*6.3",52%,24.50,2226,0.51,9.84,3623,241,9.24,80
MN6007 II KV320,P21*6.3",54%,24.48,2343,0.54,10.61,3712,260,9.02,80
MN6007 II KV320,P21*6.3",56%,24.46,2468,0.57,11.46,3804,280,8.81,80
MN6007 II KV320,P21*6.3",58%,24.44,2598,0.59,12.27,3892,300,8.67,80
MN6007 II KV320,P21*6.3",60%,24.41,2723,0.62,13.18,3981,322,8.46,80
MN6007 II KV320,P21*6.3",62%,24.39,2844,0.65,14.11,4070,344,8.27,80
MN6007 II KV320,P21*6.3",64%,24.36,2966,0.67,15.02,4153,366,8.11,80
MN6007 II KV320,P21*6.3",66%,24.12,3044,0.69,15.76,4202,380,8.01,80
MN6007 II KV320,P21*6.3",68%,24.07,3159,0.71,16.62,4276,400,7.90,80
MN6007 II KV320,P21*6.3",70%,24.01,3269,0.74,17.56,4343,422,7.75,80
MN6007 II KV320,P21*6.3",80%,23.93,3918,0.88,23.16,4744,554,7.07,80
MN6007 II KV320,P21*6.3",90%,23.83,4585,1.03,29.77,5122,709,6.46,80
MN6007 II KV320,P21*6.3",100%,23.70,5397,1.21,38.70,5538,917,5.88,80
MN6007 II KV320,P22*6.6",40%,24.58,1737,0.41,6.51,2904,160,10.85,85
MN6007 II KV320,P22*6.6",42%,24.55,1878,0.44,7.24,3012,178,10.56,85
MN6007 II KV320,P22*6.6",44%,24.52,2080,0.49,8.48,3164,208,10.01,85
MN6007 II KV320,P22*6.6",46%,24.51,2178,0.51,9.11,3241,223,9.76,85
MN6007 II KV320,P22*6.6",48%,24.48,2297,0.54,9.84,3329,241,9.53,85
MN6007 II KV320,P22*6.6",50%,24.46,2431,0.57,10.71,3421,262,9.28,85
MN6007 II KV320,P22*6.6",52%,24.44,2565,0.60,11.56,3507,283,9.08,85
MN6007 II KV320,P22*6.6",54%,24.41,2696,0.63,12.47,3593,304,8.86,85
MN6007 II KV320,P22*6.6",56%,24.19,2803,0.65,13.22,3651,320,8.76,85
MN6007 II KV320,P22*6.6",58%,24.17,2925,0.68,14.16,3734,342,8.54,85
MN6007 II KV320,P22*6.6",60%,24.17,3059,0.72,15.25,3820,369,8.30,85
MN6007 II KV320,P22*6.6",62%,24.11,3185,0.75,16.26,3896,392,8.12,85
MN6007 II KV320,P22*6.6",64%,24.06,3311,0.77,17.27,3971,416,7.97,85
MN6007 II KV320,P22*6.6",66%,24.09,3454,0.81,18.45,4057,445,7.77,85
MN6007 II KV320,P22*6.6",68%,24.01,3573,0.83,19.55,4127,469,7.61,85
MN6007 II KV320,P22*6.6",70%,24.01,3704,0.86,20.64,4203,496,7.47,85
MN6007 II KV320,P22*6.6",80%,23.80,4347,1.01,26.71,4547,636,6.84,85
MN6007 II KV320,P22*6.6",90%,23.72,5084,1.19,34.32,4885,814,6.24,85
MN6007 II KV320,P22*6.6",100%,23.57,5882,1.37,44.19,5262,1041,5.65,85
