Type,Voltage (V),Propeller,Throttle,Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,66%,6077,1.81,16.23,3344,787,7.71,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,68%,6340,1.92,17.61,3440,855,7.42,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,70%,6692,2,18.88,3539,916,7.3,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,75%,7503,2.28,22.66,3768,1100,6.82,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,80%,8475,2.58,26.98,3988,1310,6.47,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,90%,10172,3.14,36.82,4425,1788,5.68,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 26*8.5" CF,100%,12114,3.78,48.83,4818,2370,5.11,85 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,40%,2561,0.81,4.63,1963,224,11.41,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,42%,2805,0.89,5.30,2078,257,10.92,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,44%,3085,0.97,6.08,2190,295,10.46,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,46%,3336,1.06,6.85,2310,332,10.04,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,48%,3556,1.13,7.53,2405,365,9.73,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,50%,3826,1.22,8.33,2498,404,9.46,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,52%,4080,1.28,9.14,2588,443,9.21,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,54%,4381,1.41,10.20,2696,495,8.85,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,56%,4655,1.48,11.19,2793,543,8.58,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,58%,4945,1.58,12.18,2883,591,8.37,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,60%,5240,1.67,13.27,2974,643,8.14,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,62%,5680,1.79,14.64,3099,710,8.01,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,64%,6093,1.9,15.85,3210,769,7.92,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,66%,6410,2.01,17.03,3306,826,7.76,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,68%,6935,2.12,18.91,3401,917,7.56,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,70%,7287,2.23,20.58,3493,999,7.3,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,75%,8092,2.53,23.98,3723,1164,6.95,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,80%,8948,2.81,28.57,3927,1387,6.45,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,90%,10816,3.4,39.23,4353,1904,5.68,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 27*8.8" CF,100%,12617,4.04,52.07,4723,2529,4.99,120 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,40%,2950,0.93,5.19,1934,252,11.72,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,42%,3217,1.03,5.87,2039,284,11.31,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,44%,3400,1.08,6.34,2099,307,11.05,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,46%,3875,1.22,7.66,2267,372,10.42,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,48%,4158,1.32,8.49,2357,411,10.1,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,50%,4463,1.39,9.39,2451,456,9.79,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,52%,4759,1.49,10.27,2532,498,9.55,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,54%,5071,1.58,11.33,2622,550,9.22,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,56%,5477,1.7,12.60,2723,612,8.95,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,58%,5835,1.81,13.85,2821,673,8.67,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,60%,6195,1.92,15.18,2910,737,8.4,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,62%,6614,2.04,16.61,3026,807,8.19,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,64%,6921,2.14,17.97,3119,872,7.93,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,66%,7317,2.27,19.80,3220,962,7.6,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,68%,7799,2.4,21.50,3317,1044,7.46,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,70%,8137,2.52,23.25,3400,1130,7.2,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,75%,9124,2.8,27.63,3624,1342,6.79,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,80%,10137,3.09,32.46,3819,1577,6.42,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,90%,12007,3.68,43.47,4210,2113,5.68,118 (Ambient Temperature: 19℃)
U11-Ⅱ KV120,48,T-MOTOR 28*9.2" CF,100%,14159,4.33,57.27,4583,2783,5.08,118 (Ambient Temperature: 19℃)
