Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN501S KV360,T-MOTOR P17*5.8,80%,24.18,2777,0.53,19.42,5703,470,5.91,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,90%,24.20,3333,0.64,25.46,6266,616,5.41,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,100%,24.18,3837,0.74,31.46,6732,761,5.05,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,40%,23.94,917,0.06,3.93,2927,94,9.75,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,42%,23.93,989,0.07,4.35,3040,104,9.51,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,44%,23.93,1080,0.09,4.82,3153,115,9.36,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,46%,23.93,1160,0.11,5.32,3261,127,9.12,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,48%,23.94,1310,0.14,6.14,3476,147,8.92,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,50%,23.94,1450,0.17,7.09,3658,170,8.54,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,52%,23.94,1540,0.19,7.76,3786,186,8.29,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,54%,23.94,1657,0.21,8.48,3914,203,8.16,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,56%,23.94,1708,0.24,9.31,4043,223,7.66,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,58%,23.94,1881,0.28,10.36,4178,248,7.58,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,60%,23.94,2003,0.30,11.26,4321,270,7.43,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,62%,23.94,2138,0.32,12.10,4422,290,7.38,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,64%,23.95,2269,0.35,13.13,4540,314,7.22,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,66%,23.98,2400,0.38,14.24,4661,341,7.03,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,68%,23.98,2519,0.41,15.29,4774,367,6.87,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,70%,23.98,2671,0.44,16.46,4874,395,6.77,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,75%,23.99,2974,0.51,19.34,5153,464,6.41,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,80%,23.99,3276,0.58,22.39,5486,537,6.10,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,90%,24.00,3959,0.73,29.83,5908,716,5.53,86.2 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P18*6.1,100%,24.01,4644,0.90,38.43,6393,923,5.03,86.2 (Ambient Temperature: 9.2℃)
